angry1,angry2,angry3,angry4,angry5,angry6,angry7,angry8,angry9,angry10,pattern 1,pattern 2,pattern3,pattern4,pattern 5,pattern 6,pattern 7,pattern 8,pattern 9,pattern 10,stay 1,stay 2,stay 3,stay 4,stay 5,stay 6,stay 7,stay 8,stay 9,stay  10,Pointing 1,Pointing 2,Pointing 3,Pointing 4,Pointing 5,Pointing 6,Pointing 7,Pointing 8,Pointing 9,Pointing 10,Turnaround 1,Turnaround 2,Turnaround3,Turnaround 4,Turnaround 5,Turnaround 6,Turnaround 7,Turnaround 8,Turnaround 9,Turnaround 10
961,970,983,985,987,963,977,1019,985,958,1464,1208,1091,1100,1099,1213,1268,1184,1126,1275,969,962,986,1008,972,975,965,963,971,953,595,668,718,926,998,865,943,899,902,868,954,978,935,979,1011,968,962,993,976,965
1382,965,983,974,987,974,1374,1561,998,1113,1454,1239,1146,1125,1106,1186,1273,1257,1139,1201,974,955,1010,998,973,999,985,1005,962,965,521,616,600,896,968,839,891,831,880,845,938,940,913,960,946,946,956,957,984,948
1993,970,1003,1123,991,1420,1650,1529,1497,1519,1515,1228,1151,1090,1084,1134,1274,1169,1196,1198,986,952,999,983,971,987,992,1000,988,979,508,574,572,880,943,810,867,813,846,786,936,931,931,950,940,949,957,940,991,937
1879,995,1206,1349,990,1577,1338,1244,1404,1336,1512,1178,1139,1103,1041,1093,1246,1172,1170,1207,956,951,986,973,979,977,983,1012,969,976,429,481,512,841,913,770,810,771,814,738,920,948,927,954,955,956,946,936,977,932
1435,1023,1192,1258,1148,1373,1386,1226,1337,1311,1384,1197,1131,1127,1025,1018,1137,1135,1147,1084,978,940,989,982,964,981,997,1003,971,975,372,464,433,811,867,750,760,719,768,722,914,944,913,942,947,950,938,934,960,921
1482,1735,1198,1193,1270,1363,1269,1105,1298,1227,1257,1169,1114,1108,1013,938,1105,1111,1138,1031,982,936,982,987,977,986,995,979,980,971,345,363,399,776,836,666,727,713,710,675,933,948,915,929,934,941,926,938,957,898
1325,1693,1219,1153,1227,1272,1218,994,1146,1131,1101,1124,1086,1089,1006,956,1094,1055,1065,1007,986,943,990,993,989,980,996,984,969,973,278,326,337,702,805,638,681,645,660,605,921,936,904,924,938,939,913,930,952,915
1009,1575,1181,1100,1277,1214,1115,945,1105,1081,997,1113,1036,1093,995,898,981,977,1031,972,980,949,1002,1000,969,977,1003,997,977,963,237,287,296,661,689,592,617,587,587,563,931,943,900,919,941,930,899,925,947,908
848,1541,1119,1090,1276,1119,1066,805,986,980,906,1090,1029,971,1029,841,912,947,960,839,949,946,1004,986,974,979,1008,994,977,970,228,207,229,615,632,529,570,509,514,520,948,947,904,912,927,924,903,927,935,879
465,1385,1104,1036,1196,1066,1009,752,924,883,807,1033,1017,966,1030,850,877,934,956,821,951,949,987,995,981,970,1017,995,987,953,174,167,188,547,603,485,492,454,449,433,915,934,893,916,904,916,892,922,924,889
310,1317,1080,978,1168,958,949,614,817,779,750,1030,988,956,1020,877,873,965,941,771,976,939,998,999,980,968,986,975,968,970,147,94,171,511,488,437,430,350,432,406,925,929,889,923,922,917,883,908,915,897
8,1069,1037,952,1146,886,820,537,734,721,706,1033,960,940,947,897,884,861,926,777,978,939,982,972,974,969,1007,970,982,968,120,52,129,434,449,389,371,301,343,343,929,920,884,911,916,911,883,888,913,888
-199,955,989,945,1130,789,781,411,627,653,686,1009,946,949,963,891,874,790,909,706,985,938,991,981,966,968,1005,997,978,961,122,25,122,352,351,359,286,226,276,302,900,906,877,904,887,891,870,903,904,880
-367,810,957,913,1100,755,700,328,574,597,704,976,955,985,945,806,842,738,893,734,978,945,991,970,981,975,1011,999,964,964,97,-100,110,311,279,312,236,180,195,236,912,912,875,897,888,887,848,881,893,884
-300,732,917,922,999,747,684,236,395,461,705,992,954,881,954,810,807,800,856,669,983,950,994,974,991,969,995,980,974,961,94,-69,86,227,194,234,185,106,156,214,917,906,881,912,888,884,845,849,878,878
-256,678,899,910,962,747,657,76,309,396,719,943,953,868,943,812,813,901,837,726,973,950,988,952,994,964,984,990,960,961,11,-132,48,215,114,214,112,65,66,135,892,894,880,882,885,872,844,855,866,876
-194,649,939,887,886,740,612,7,196,358,708,941,905,875,945,815,823,868,829,736,978,951,983,952,978,979,993,970,963,964,2,-210,36,109,76,151,118,26,3,135,893,902,871,893,865,847,839,835,870,876
14,585,887,879,861,669,577,-101,59,175,689,887,909,872,934,835,837,877,801,629,976,937,980,965,981,968,1005,971,958,963,-11,-191,-38,64,21,153,76,-12,-23,41,874,893,871,880,857,849,841,835,870,871
